investor_id,transaction_type,sip_amount,age_group,gender
INV004653,SIP,56397,46-55,Female
INV003173,Lumpsum,437046,18-25,Male
INV002547,Lumpsum,384834,26-35,Male
INV000606,Redemption,498428,18-25,Male
INV000606,SIP,1066,18-25,Male
INV001571,Redemption,143857,46-55,Female
INV000466,Redemption,101093,18-25,Male
INV002019,Lumpsum,217343,36-45,Male
INV000567,SIP,3392,26-35,Male
INV003049,SIP,28170,26-35,Male
INV003528,SIP,9748,18-25,Female
INV004818,Lumpsum,219716,26-35,Male
INV003887,Lumpsum,277114,56+,Female
INV001404,SIP,2573,46-55,Male
INV003315,SIP,1161,36-45,Female
INV001691,Lumpsum,363149,26-35,Male
INV000127,Lumpsum,451149,18-25,Male
INV004017,SIP,2283,36-45,Male
INV004938,SIP,48071,18-25,Male
INV002568,SIP,58433,26-35,Female
INV003778,SIP,2568,36-45,Male
INV002112,SIP,21664,56+,Male
INV003909,SIP,3142,46-55,Male
INV004827,Redemption,53776,56+,Female
INV002044,Redemption,28787,26-35,Female
INV001141,SIP,2235,18-25,Female
INV004084,Lumpsum,68811,26-35,Male
INV001507,Lumpsum,59698,26-35,Male
INV003241,SIP,923,26-35,Male
INV004088,SIP,5487,36-45,Male
INV001777,SIP,55601,18-25,Female
INV002803,SIP,423,36-45,Male
INV002897,SIP,3489,26-35,Male
INV002236,SIP,445,26-35,Male
INV004318,SIP,11531,56+,Female
INV003121,Lumpsum,65841,36-45,Male
INV002430,Redemption,120214,26-35,Male
INV001440,Lumpsum,136104,26-35,Male
INV003016,Redemption,274767,26-35,Male
INV004761,Redemption,519622,26-35,Male
INV004906,SIP,2320,26-35,Male
INV004266,SIP,3407,36-45,Male
INV000541,SIP,8767,46-55,Female
INV002413,Lumpsum,23904,26-35,Male
INV003564,SIP,48152,18-25,Male
INV001969,Lumpsum,132181,26-35,Male
INV004926,SIP,1769,36-45,Male
INV000661,SIP,2165,36-45,Male
INV002887,Lumpsum,556503,36-45,Female
INV003619,SIP,7992,18-25,Female
INV004623,Lumpsum,77025,46-55,Female
INV004149,SIP,3043,56+,Female
INV002467,SIP,54783,36-45,Male
INV000058,SIP,2727,26-35,Male
INV001116,SIP,6239,36-45,Male
INV004510,SIP,8170,56+,Male
INV003987,SIP,838,26-35,Female
INV004131,SIP,457,26-35,Male
INV001045,Redemption,372177,36-45,Female
INV004888,Lumpsum,290048,26-35,Female
INV004648,Lumpsum,34775,36-45,Male
INV004709,SIP,6273,36-45,Male
INV001689,Lumpsum,106153,36-45,Male
INV002290,Lumpsum,215278,36-45,Male
INV003872,SIP,8394,26-35,Male
INV001877,SIP,28603,56+,Male
INV000580,SIP,6408,56+,Male
INV001632,Redemption,284760,26-35,Male
INV001091,Lumpsum,249893,18-25,Male
INV003525,SIP,976,36-45,Male
INV004159,SIP,57014,18-25,Male
INV004598,Lumpsum,257791,46-55,Male
INV002759,SIP,4450,36-45,Male
INV001220,SIP,2834,36-45,Male
INV001526,Lumpsum,395736,26-35,Female
INV001951,SIP,13162,26-35,Male
INV001520,Redemption,316598,36-45,Female
INV000446,SIP,818,26-35,Female
INV004656,Lumpsum,248889,18-25,Male
INV002786,SIP,14033,26-35,Female
INV002382,Lumpsum,394455,26-35,Male
INV003724,SIP,15187,56+,Male
INV003758,SIP,4740,26-35,Female
INV001075,SIP,2419,26-35,Female
INV004140,Redemption,374902,46-55,Female
INV000950,Lumpsum,259106,36-45,Male
INV002186,SIP,27004,18-25,Female
INV001843,Lumpsum,491203,46-55,Male
INV003543,SIP,53639,26-35,Male
INV003607,SIP,11226,18-25,Male
INV001623,SIP,3537,26-35,Female
INV002393,SIP,12538,26-35,Female
INV000094,Lumpsum,63793,18-25,Male
INV002439,Lumpsum,27629,18-25,Male
INV003658,SIP,3459,26-35,Male
INV002365,Redemption,454493,46-55,Male
INV004184,Lumpsum,278211,26-35,Male
INV002588,SIP,9853,18-25,Male
INV001473,Lumpsum,270991,36-45,Male
INV000962,SIP,2200,26-35,Male
INV002178,Lumpsum,169706,36-45,Female
INV002151,SIP,58346,26-35,Female
INV002751,SIP,5083,36-45,Male
INV002216,SIP,11327,46-55,Male
INV004306,SIP,7704,26-35,Female
INV002297,Lumpsum,469934,36-45,Male
INV000661,SIP,1011,36-45,Male
INV000124,SIP,8013,36-45,Female
INV001288,SIP,421,26-35,Male
INV001753,SIP,4947,26-35,Male
INV001857,Redemption,334225,26-35,Male
INV001897,Lumpsum,198484,26-35,Male
INV002420,SIP,22706,26-35,Female
INV000305,SIP,44932,36-45,Male
INV003043,Redemption,88005,26-35,Male
INV001191,Lumpsum,247593,56+,Male
INV004365,SIP,56633,26-35,Male
INV000910,SIP,21380,46-55,Male
INV000477,Redemption,541960,18-25,Female
INV000309,Lumpsum,482703,26-35,Male
INV000596,SIP,6922,56+,Male
INV001836,SIP,895,26-35,Male
INV004545,Redemption,146373,26-35,Male
INV001326,SIP,4135,46-55,Male
INV003348,SIP,53116,46-55,Male
INV004745,Redemption,399310,18-25,Male
INV000567,SIP,2696,26-35,Male
INV004835,SIP,1106,56+,Male
INV000691,SIP,17771,18-25,Female
INV002280,SIP,1627,18-25,Male
INV002061,SIP,14909,26-35,Male
INV002166,SIP,59161,36-45,Male
INV000689,SIP,423,26-35,Female
INV002253,SIP,2074,46-55,Male
INV001383,SIP,889,26-35,Male
INV000138,SIP,23284,26-35,Male
INV004290,Lumpsum,89572,46-55,Male
INV004084,Lumpsum,305996,26-35,Male
INV002181,Lumpsum,462214,26-35,Male
INV000713,Lumpsum,457850,36-45,Female
INV001064,Redemption,32797,46-55,Male
INV003955,SIP,1015,26-35,Female
INV002951,Redemption,101588,36-45,Male
INV002954,Lumpsum,258635,26-35,Female
INV002983,Lumpsum,259536,18-25,Male
INV003959,SIP,5799,46-55,Male
INV003169,SIP,2938,26-35,Female
INV003606,Redemption,400168,36-45,Male
INV002389,Redemption,422295,36-45,Male
INV002674,SIP,24474,26-35,Female
INV002401,SIP,2165,26-35,Male
INV001719,Lumpsum,395450,26-35,Male
INV001206,Lumpsum,171528,26-35,Male
INV000437,SIP,437,26-35,Female
INV000030,SIP,7126,18-25,Female
INV004682,SIP,59109,26-35,Female
INV000437,Lumpsum,129851,26-35,Female
INV003068,SIP,2904,26-35,Male
INV004589,SIP,2013,36-45,Male
INV000873,Redemption,304282,26-35,Male
INV003289,Redemption,273974,26-35,Male
INV000029,SIP,2219,26-35,Female
INV001401,Lumpsum,289600,26-35,Male
INV000165,Redemption,80225,36-45,Female
INV001434,Lumpsum,68668,46-55,Male
INV002803,SIP,2000,36-45,Male
INV001460,Lumpsum,406659,36-45,Male
INV004321,Redemption,394809,26-35,Male
INV004498,SIP,10734,26-35,Male
INV001764,Redemption,24497,46-55,Female
INV003357,SIP,20213,26-35,Female
INV002249,Lumpsum,182928,36-45,Male
INV002870,SIP,3271,26-35,Female
INV002614,Lumpsum,285194,36-45,Male
INV000283,Redemption,450264,46-55,Male
INV004652,Lumpsum,299798,56+,Male
INV001389,Redemption,157270,46-55,Female
INV000384,SIP,52268,18-25,Female
INV004193,SIP,13429,26-35,Male
INV003487,SIP,24847,26-35,Female
INV001022,Redemption,149101,36-45,Male
INV001456,SIP,2792,36-45,Male
INV004091,SIP,4440,26-35,Male
INV001814,Lumpsum,122043,26-35,Female
INV002879,SIP,2917,46-55,Male
INV000497,SIP,4801,36-45,Male
INV003672,SIP,44716,36-45,Male
INV003455,SIP,14099,46-55,Male
INV003154,Lumpsum,245094,26-35,Female
INV001462,SIP,8787,26-35,Male
INV002179,SIP,406,26-35,Female
INV002430,Redemption,57911,26-35,Male
INV001549,SIP,24284,36-45,Male
INV002923,SIP,47133,26-35,Female
INV004557,SIP,50504,26-35,Male
INV001969,Lumpsum,441486,26-35,Male
INV003449,Redemption,165434,56+,Male
INV003218,Redemption,33054,18-25,Male
INV004981,SIP,8241,18-25,Male
INV004548,Redemption,378284,36-45,Female
INV000779,SIP,1026,36-45,Male
INV004294,SIP,9251,56+,Female
INV000293,Lumpsum,139339,26-35,Female
INV003037,Lumpsum,86156,18-25,Female
INV004295,SIP,2064,36-45,Male
INV001975,Redemption,25990,36-45,Female
INV004951,Redemption,19907,26-35,Female
INV000791,SIP,1071,26-35,Male
INV003808,Redemption,365494,46-55,Female
INV000040,Redemption,262193,26-35,Male
INV000288,SIP,48989,26-35,Male
INV004302,Redemption,297995,46-55,Male
INV004979,SIP,26569,26-35,Male
INV004075,SIP,40088,36-45,Male
INV000626,Redemption,299069,26-35,Female
INV003711,SIP,15325,36-45,Female
INV002119,Redemption,52355,26-35,Female
INV003349,Lumpsum,144588,26-35,Male
INV002143,SIP,54182,26-35,Male
INV004340,SIP,3176,26-35,Male
INV000114,SIP,2628,36-45,Male
INV004067,SIP,578,26-35,Male
INV004073,SIP,7390,46-55,Female
INV003586,SIP,53161,46-55,Male
INV001684,SIP,16192,36-45,Male
INV004420,SIP,4920,36-45,Male
INV004436,Lumpsum,431001,56+,Male
INV003899,Redemption,300396,36-45,Female
INV002237,SIP,29913,46-55,Male
INV003848,Lumpsum,110159,26-35,Male
INV000646,SIP,462,26-35,Female
INV002237,SIP,1607,46-55,Male
INV004446,SIP,16682,26-35,Male
INV003070,SIP,9566,26-35,Male
INV002696,SIP,4805,18-25,Male
INV000906,Lumpsum,485396,26-35,Male
INV004875,SIP,51350,26-35,Male
INV003470,SIP,6567,18-25,Male
INV000736,SIP,43074,36-45,Female
INV000740,SIP,8334,36-45,Male
INV000992,Lumpsum,483249,46-55,Female
INV003060,Lumpsum,16923,56+,Female
INV000880,Lumpsum,317220,26-35,Male
INV003151,Lumpsum,159547,56+,Female
INV003947,SIP,881,26-35,Male
INV000427,SIP,58796,56+,Female
INV002035,Lumpsum,113244,36-45,Male
INV004233,SIP,5538,26-35,Female
INV004953,SIP,15194,36-45,Male
INV001895,SIP,8543,36-45,Male
INV000472,Lumpsum,104822,46-55,Male
INV003534,SIP,1136,46-55,Male
INV002282,SIP,52585,36-45,Male
INV002127,SIP,42352,18-25,Male
INV002284,Redemption,378756,36-45,Male
INV004919,Redemption,418740,26-35,Male
INV004621,Lumpsum,197183,36-45,Female
INV000091,SIP,12679,26-35,Male
INV002870,SIP,23327,26-35,Female
INV000359,SIP,6472,18-25,Male
INV003165,SIP,820,26-35,Male
INV000978,SIP,5553,26-35,Male
INV002913,SIP,2501,56+,Male
INV004701,SIP,8387,26-35,Male
INV003360,Lumpsum,45676,26-35,Female
INV001036,Lumpsum,291746,46-55,Female
INV004004,SIP,4398,18-25,Male
INV004089,Lumpsum,191225,36-45,Female
INV004504,SIP,3233,46-55,Male
INV000022,SIP,8800,36-45,Male
INV000726,Redemption,224494,26-35,Male
INV004819,Lumpsum,7992,26-35,Female
INV003601,SIP,2425,26-35,Female
INV002310,Lumpsum,434326,26-35,Female
INV000725,SIP,7385,18-25,Male
INV000606,Redemption,300513,18-25,Male
INV002327,Redemption,74112,26-35,Male
INV002199,SIP,514,26-35,Male
INV004196,SIP,2070,46-55,Male
INV001014,SIP,1990,18-25,Female
INV002921,SIP,7299,18-25,Female
INV001137,Lumpsum,436696,56+,Female
INV001691,Redemption,522918,26-35,Male
INV000884,SIP,1197,18-25,Female
INV002777,SIP,7563,26-35,Male
INV001080,Redemption,410934,18-25,Female
INV003066,SIP,547,26-35,Male
INV002555,SIP,434,36-45,Male
INV001189,SIP,422,56+,Male
INV002905,SIP,557,36-45,Female
INV004095,Redemption,83951,26-35,Female
INV002124,SIP,5452,18-25,Male
INV004672,SIP,12425,26-35,Male
INV004267,Lumpsum,321099,46-55,Male
INV001423,SIP,4709,18-25,Female
INV002698,SIP,15373,26-35,Male
INV001693,SIP,8527,36-45,Male
INV003522,SIP,3041,26-35,Female
INV003797,SIP,597,26-35,Male
INV001460,Redemption,91132,36-45,Male
INV001579,SIP,16662,46-55,Male
INV002526,Redemption,309276,18-25,Female
INV000007,SIP,1906,26-35,Male
INV000051,SIP,4603,36-45,Male
INV004400,Lumpsum,402963,26-35,Male
INV004266,Redemption,298197,36-45,Male
INV002303,Redemption,137559,26-35,Male
INV000461,SIP,45981,36-45,Male
INV000353,SIP,49922,26-35,Female
INV001238,Lumpsum,400096,26-35,Male
INV004442,Redemption,298480,18-25,Male
INV002131,SIP,967,46-55,Male
INV001570,Lumpsum,264907,26-35,Male
INV004704,SIP,48981,26-35,Male
INV000612,SIP,5554,18-25,Male
INV004698,SIP,428,36-45,Female
INV002368,Lumpsum,40643,26-35,Male
INV003625,SIP,927,26-35,Female
INV004626,SIP,8063,18-25,Female
INV003049,SIP,16988,26-35,Male
INV001288,SIP,24590,26-35,Male
INV004926,Redemption,383465,36-45,Male
INV000037,Lumpsum,483155,26-35,Male
INV003000,SIP,17719,36-45,Male
INV002067,SIP,5308,36-45,Female
INV000097,SIP,10631,18-25,Male
INV001751,Lumpsum,416641,18-25,Male
INV001054,SIP,25614,36-45,Female
INV001137,Lumpsum,221905,56+,Female
INV000710,SIP,9973,26-35,Male
INV000874,Lumpsum,459016,56+,Male
INV004492,SIP,45153,26-35,Male
INV004172,Lumpsum,212807,26-35,Male
INV003890,Lumpsum,383187,26-35,Male
INV001420,SIP,5358,36-45,Male
INV003566,Lumpsum,255994,26-35,Male
INV000816,SIP,2261,36-45,Male
INV004737,SIP,3314,46-55,Male
INV004826,Redemption,341362,26-35,Male
INV004283,Redemption,111749,26-35,Male
INV003277,SIP,17276,18-25,Male
INV002173,SIP,2757,26-35,Female
INV003740,SIP,3335,56+,Female
INV003058,SIP,9004,36-45,Male
INV000296,SIP,58254,26-35,Male
INV004619,SIP,23654,46-55,Male
INV001443,Lumpsum,393092,46-55,Female
INV000865,SIP,25097,26-35,Male
INV003516,SIP,437,36-45,Female
INV003978,Redemption,431148,26-35,Female
INV001352,SIP,819,26-35,Female
INV003174,Lumpsum,335006,26-35,Female
INV000028,SIP,8402,18-25,Female
INV002764,SIP,2264,36-45,Male
INV000375,Lumpsum,268483,36-45,Male
INV001587,SIP,5769,26-35,Male
INV004650,SIP,426,56+,Male
INV001315,Redemption,284849,46-55,Female
INV003308,SIP,876,56+,Male
INV001998,SIP,1963,26-35,Male
INV003833,Redemption,19353,26-35,Male
INV004241,SIP,466,36-45,Male
INV000400,Lumpsum,407873,26-35,Male
INV002948,SIP,12851,46-55,Male
INV000431,SIP,572,18-25,Female
INV002249,SIP,1148,36-45,Male
INV002196,SIP,5966,26-35,Female
INV004432,Lumpsum,137225,26-35,Male
INV001653,SIP,21511,36-45,Male
INV004967,SIP,1704,26-35,Male
INV004823,Redemption,429994,36-45,Female
INV003395,SIP,15974,36-45,Male
INV004150,Redemption,277955,18-25,Male
INV004598,Lumpsum,306726,46-55,Male
INV000009,SIP,53617,26-35,Male
INV000589,SIP,22455,18-25,Female
INV001694,SIP,7549,46-55,Female
INV000143,Lumpsum,208196,26-35,Male
INV002563,SIP,5413,18-25,Female
INV003054,Lumpsum,384354,56+,Female
INV001117,SIP,4461,18-25,Male
INV002092,SIP,25347,18-25,Male
INV003428,SIP,24123,26-35,Female
INV001214,Lumpsum,86214,36-45,Male
INV001217,Lumpsum,148754,26-35,Male
INV000283,SIP,3197,46-55,Male
INV001275,Redemption,300162,36-45,Female
INV003759,Lumpsum,447193,26-35,Male
INV004983,SIP,41014,26-35,Male
INV004913,SIP,558,26-35,Male
INV002162,SIP,1199,46-55,Male
INV003232,SIP,57726,36-45,Female
INV004908,Redemption,152986,18-25,Male
INV000266,SIP,8272,56+,Male
INV000265,SIP,460,36-45,Male
INV000265,SIP,17515,36-45,Male
INV000109,SIP,14772,26-35,Female
INV001027,SIP,21794,46-55,Female
INV001663,SIP,1973,36-45,Female
INV004725,SIP,2186,18-25,Male
INV004106,SIP,52951,26-35,Male
INV003061,SIP,6604,26-35,Female
INV000942,SIP,40104,56+,Male
INV002649,Redemption,433945,46-55,Male
INV002739,SIP,1080,36-45,Female
INV002613,SIP,400,46-55,Female
INV004446,Lumpsum,68354,26-35,Male
INV002900,SIP,6763,26-35,Female
INV000764,SIP,7458,26-35,Male
INV003025,SIP,8384,26-35,Female
INV003732,Redemption,387926,36-45,Male
INV000946,Lumpsum,214625,46-55,Female
INV002252,Lumpsum,83071,36-45,Female
INV000768,SIP,1124,56+,Male
INV003748,SIP,10028,46-55,Male
INV001612,Lumpsum,370891,26-35,Female
INV002234,SIP,5642,26-35,Male
INV000476,Lumpsum,283603,46-55,Female
INV001238,SIP,4072,26-35,Male
INV002135,SIP,5468,56+,Male
INV001528,Lumpsum,414532,26-35,Female
INV001653,SIP,846,36-45,Male
INV002422,SIP,5324,36-45,Male
INV002984,SIP,1958,26-35,Male
INV002631,Redemption,275730,46-55,Female
INV002075,SIP,56774,36-45,Female
INV003043,SIP,21178,26-35,Male
INV001081,Lumpsum,297263,18-25,Male
INV004910,SIP,2770,26-35,Female
INV003910,SIP,12710,26-35,Male
INV004692,Lumpsum,492047,26-35,Male
INV003567,SIP,11308,46-55,Male
INV002962,SIP,12683,46-55,Female
INV002583,Redemption,370125,46-55,Male
INV001594,SIP,2896,26-35,Male
INV003972,SIP,41821,26-35,Male
INV003666,Redemption,245498,18-25,Male
INV003038,Redemption,103926,18-25,Male
INV003722,SIP,4678,36-45,Female
INV003723,SIP,1824,26-35,Female
INV002058,SIP,481,36-45,Male
INV001377,SIP,4387,56+,Female
INV000061,Redemption,386074,26-35,Female
INV000297,Redemption,310461,26-35,Male
INV003140,Redemption,133715,26-35,Male
INV000197,Lumpsum,248842,18-25,Male
INV003070,SIP,2759,26-35,Male
INV000182,SIP,2029,36-45,Male
INV001729,Lumpsum,28427,18-25,Male
INV004271,Lumpsum,227675,18-25,Male
INV001921,SIP,23931,26-35,Female
INV000849,Redemption,138346,56+,Female
INV002950,SIP,544,46-55,Female
INV000912,Redemption,342488,36-45,Male
INV004253,SIP,26500,36-45,Male
INV001329,SIP,43541,36-45,Female
INV002423,SIP,7138,46-55,Male
INV004015,Redemption,21711,18-25,Female
INV002766,SIP,5452,26-35,Female
INV002423,Lumpsum,101708,46-55,Male
INV004276,Lumpsum,88008,26-35,Male
INV003320,SIP,565,56+,Male
INV000749,SIP,51074,36-45,Male
INV000667,SIP,884,26-35,Male
INV001815,Redemption,78801,26-35,Female
INV003278,Lumpsum,437128,26-35,Male
INV003347,SIP,8516,18-25,Male
INV003794,SIP,3203,26-35,Male
INV001670,Redemption,156561,26-35,Male
INV004425,SIP,2947,26-35,Female
INV001325,Redemption,407433,18-25,Male
INV003338,SIP,15836,46-55,Male
INV003189,SIP,461,36-45,Female
INV004154,SIP,1935,18-25,Male
INV001242,Lumpsum,16677,36-45,Male
INV001683,SIP,2339,26-35,Male
INV002536,Redemption,124206,26-35,Male
INV000595,SIP,2048,18-25,Male
INV002912,Lumpsum,477435,26-35,Female
INV003854,Redemption,81169,26-35,Male
INV000217,Redemption,504133,56+,Male
INV000665,SIP,8699,26-35,Female
INV003459,Redemption,167266,26-35,Female
INV004918,SIP,14753,56+,Female
INV003934,SIP,2975,26-35,Male
INV001430,SIP,560,26-35,Male
INV003132,Lumpsum,556164,56+,Male
INV002134,SIP,2367,26-35,Male
INV001299,SIP,2441,26-35,Male
INV002658,Lumpsum,40148,26-35,Female
INV002232,Redemption,38639,26-35,Female
INV000469,SIP,17529,18-25,Male
INV002574,SIP,931,26-35,Male
INV001532,SIP,8327,36-45,Female
INV000156,SIP,8175,46-55,Male
INV002296,SIP,7412,56+,Male
INV001955,SIP,8904,26-35,Female
INV003554,SIP,4266,26-35,Female
INV001117,SIP,1780,18-25,Male
INV001337,SIP,4739,26-35,Male
INV002661,SIP,411,36-45,Male
INV000683,SIP,1018,26-35,Female
INV001288,Redemption,399336,26-35,Male
INV002151,SIP,2653,26-35,Female
INV001525,SIP,964,36-45,Male
INV001513,SIP,27513,18-25,Male
INV000097,SIP,43468,18-25,Male
INV003345,SIP,16667,26-35,Female
INV002367,SIP,1861,26-35,Male
INV001382,SIP,1799,26-35,Male
INV001621,SIP,23064,26-35,Female
INV001130,SIP,46031,18-25,Female
INV003133,Lumpsum,309887,46-55,Male
INV004326,SIP,5794,26-35,Male
INV004146,Redemption,363035,56+,Male
INV002360,SIP,2278,26-35,Male
INV003278,Redemption,94061,26-35,Male
INV000394,SIP,54420,26-35,Male
INV004324,Lumpsum,255832,36-45,Male
INV001672,SIP,2261,18-25,Male
INV004840,SIP,1148,18-25,Male
INV002300,SIP,10363,36-45,Female
INV004962,SIP,15486,18-25,Male
INV000463,Lumpsum,392940,26-35,Male
INV004202,SIP,7504,36-45,Female
INV001927,SIP,2528,56+,Male
INV003308,SIP,3290,56+,Male
INV001602,SIP,27360,36-45,Male
INV001367,SIP,13829,36-45,Male
INV002037,Redemption,376598,56+,Male
INV000635,SIP,1936,18-25,Female
INV001653,SIP,44706,36-45,Male
INV001673,SIP,7018,26-35,Male
INV004835,SIP,21020,56+,Male
INV003778,Lumpsum,80152,36-45,Male
INV002033,SIP,10523,46-55,Male
INV001794,SIP,2120,26-35,Male
INV000394,SIP,1196,26-35,Male
INV001467,Redemption,43210,36-45,Male
INV004847,SIP,539,26-35,Female
INV000901,Redemption,354519,46-55,Female
INV001015,SIP,566,36-45,Female
INV002683,SIP,3105,26-35,Male
INV001714,SIP,15869,18-25,Male
INV003495,SIP,579,26-35,Female
INV003260,SIP,48222,18-25,Male
INV003419,Redemption,351433,18-25,Male
INV001051,Redemption,79955,26-35,Male
INV000174,Redemption,221283,36-45,Male
INV002546,SIP,5599,26-35,Male
INV001880,Lumpsum,109166,26-35,Male
INV000194,SIP,23392,36-45,Male
INV001874,Lumpsum,400297,36-45,Male
INV001519,SIP,3289,46-55,Female
INV000668,Lumpsum,460637,18-25,Male
INV004482,SIP,455,18-25,Female
INV004866,Lumpsum,159069,36-45,Male
INV004537,Lumpsum,500005,18-25,Female
INV002310,SIP,8757,26-35,Female
INV000634,SIP,27511,26-35,Female
INV001575,Lumpsum,139969,26-35,Male
INV000175,SIP,1975,26-35,Male
INV004070,Lumpsum,132271,26-35,Male
INV003856,SIP,12325,36-45,Male
INV001331,SIP,17495,26-35,Male
INV002273,SIP,17608,36-45,Male
INV001532,SIP,47717,36-45,Female
INV002239,SIP,56440,26-35,Male
INV004867,SIP,979,18-25,Male
INV001405,SIP,895,56+,Male
INV004648,Redemption,427952,36-45,Male
INV004587,Lumpsum,308179,18-25,Male
INV002976,SIP,42877,26-35,Male
INV003569,Redemption,269989,46-55,Male
INV001609,SIP,43647,26-35,Female
INV002304,Redemption,388417,46-55,Male
INV000444,Lumpsum,49144,36-45,Female
INV004956,SIP,432,46-55,Male
INV000048,SIP,8407,36-45,Female
INV004244,Lumpsum,475385,26-35,Male
INV002401,Lumpsum,135695,26-35,Male
INV001605,SIP,42930,26-35,Female
INV003634,SIP,24650,46-55,Female
INV004191,SIP,17673,26-35,Female
INV000026,Lumpsum,272508,36-45,Male
INV000411,SIP,24609,26-35,Female
INV001356,Redemption,33675,26-35,Male
INV001724,SIP,2377,26-35,Female
INV003666,SIP,23605,18-25,Male
INV000868,SIP,9196,36-45,Male
INV004985,SIP,2301,56+,Female
INV000901,SIP,22945,46-55,Female
INV001597,Redemption,257877,36-45,Male
INV003989,SIP,450,26-35,Male
INV003031,SIP,882,18-25,Male
INV003772,SIP,2413,18-25,Female
INV003641,SIP,59990,26-35,Female
INV001133,SIP,22615,26-35,Male
INV002162,SIP,14934,46-55,Male
INV001609,SIP,59222,26-35,Female
INV004299,SIP,25637,26-35,Female
INV004338,SIP,8366,46-55,Female
INV004302,SIP,8784,46-55,Male
INV000493,SIP,6286,18-25,Male
INV004317,SIP,6352,36-45,Male
INV000752,Redemption,316018,46-55,Male
INV002115,SIP,7500,56+,Female
INV002733,Redemption,288980,26-35,Male
INV004335,SIP,15501,26-35,Female
INV004361,SIP,852,26-35,Female
INV001102,Lumpsum,430739,46-55,Male
INV001314,SIP,23468,26-35,Female
INV002827,SIP,512,36-45,Female
INV004995,SIP,559,36-45,Male
INV001001,SIP,4421,26-35,Female
INV003692,SIP,2185,26-35,Male
INV003794,Lumpsum,76457,26-35,Male
INV002387,SIP,8555,26-35,Male
INV001890,Redemption,505384,26-35,Male
INV001455,Lumpsum,163799,36-45,Male
INV004450,SIP,5251,36-45,Male
INV001732,Lumpsum,16816,18-25,Female
INV001729,SIP,4667,18-25,Male
INV004340,SIP,4584,26-35,Male
INV000621,Lumpsum,142813,56+,Female
INV000728,Lumpsum,116300,26-35,Male
INV004416,SIP,4257,18-25,Male
INV003698,Redemption,121159,36-45,Female
INV001270,SIP,17169,26-35,Female
INV000088,Lumpsum,290741,26-35,Male
INV001307,SIP,45493,56+,Male
INV003458,SIP,6654,36-45,Male
INV004105,Redemption,39341,26-35,Female
INV000071,Redemption,11077,26-35,Female
INV004945,Lumpsum,344903,36-45,Female
INV003813,Redemption,527296,36-45,Male
INV003546,SIP,48805,36-45,Male
INV001291,SIP,22880,46-55,Male
INV001719,Lumpsum,348821,26-35,Male
INV003059,SIP,2535,26-35,Male
INV004099,SIP,1129,26-35,Male
INV000929,SIP,7633,36-45,Female
INV004960,SIP,5641,26-35,Male
INV002975,SIP,1648,26-35,Male
INV001625,Lumpsum,416335,46-55,Female
INV000806,SIP,593,46-55,Male
INV004219,Lumpsum,518031,26-35,Male
INV003787,SIP,2517,46-55,Male
INV003804,Lumpsum,373882,46-55,Male
INV002475,SIP,7853,26-35,Male
INV003607,SIP,1838,18-25,Male
INV000437,SIP,17204,26-35,Female
INV004712,SIP,26764,36-45,Male
INV004030,SIP,1189,18-25,Female
INV002025,SIP,436,26-35,Female
INV001345,SIP,6455,26-35,Male
INV000331,SIP,12758,36-45,Male
INV003572,SIP,885,46-55,Male
INV003146,Lumpsum,509194,26-35,Male
INV004001,Lumpsum,338657,56+,Female
INV002413,SIP,1043,26-35,Male
INV004601,Redemption,318148,46-55,Male
INV001950,SIP,4180,26-35,Female
INV002690,Redemption,62742,36-45,Male
INV004477,SIP,11063,46-55,Female
INV004529,Lumpsum,391309,18-25,Male
INV001375,Redemption,503937,18-25,Male
INV004540,Lumpsum,293017,36-45,Male
INV000249,SIP,2656,26-35,Male
INV000369,SIP,1689,26-35,Male
INV001335,SIP,4199,26-35,Male
INV002258,Lumpsum,82111,36-45,Male
INV002785,SIP,20369,36-45,Male
INV003985,SIP,532,18-25,Male
INV001985,SIP,2162,36-45,Male
INV001501,Lumpsum,322367,26-35,Male
INV003634,SIP,29641,46-55,Female
INV003771,SIP,6653,46-55,Male
INV002335,Redemption,323933,26-35,Male
INV004026,Redemption,43015,26-35,Female
INV000482,Lumpsum,434989,26-35,Male
INV000483,Lumpsum,422110,18-25,Male
INV004004,SIP,7698,18-25,Male
INV001027,SIP,21932,46-55,Female
INV002951,SIP,571,36-45,Male
INV003185,SIP,6521,26-35,Female
INV004733,Lumpsum,311038,18-25,Male
INV002554,SIP,5400,18-25,Male
INV001866,SIP,11771,36-45,Female
INV000071,SIP,57029,26-35,Female
INV001459,SIP,56290,26-35,Male
INV001298,Lumpsum,425583,26-35,Female
INV003134,SIP,53442,36-45,Female
INV004515,Lumpsum,171107,18-25,Female
INV003462,Lumpsum,414847,26-35,Female
INV003155,SIP,2378,36-45,Male
INV001692,Lumpsum,328363,26-35,Male
INV001142,SIP,8063,26-35,Male
INV003063,Lumpsum,384840,36-45,Female
INV001789,SIP,44603,18-25,Male
INV001821,SIP,2887,26-35,Male
INV002483,SIP,2818,46-55,Female
INV000483,SIP,2222,18-25,Male
INV003891,SIP,8163,26-35,Male
INV004322,SIP,1032,26-35,Female
INV003599,Redemption,260185,46-55,Male
INV002826,SIP,2021,26-35,Male
INV000111,Lumpsum,59717,56+,Male
INV004334,SIP,15345,26-35,Female
INV002733,SIP,839,26-35,Male
INV001960,Redemption,171738,36-45,Male
